,Area,Production,Rainfall,Temperature,pH,Nitrogen(kg/ha),Autumn,Kharif,Rabi,Summer,Whole Year,Winter,Arhar/Tur,Dry chillies,Gram,Groundnut,Jowar,Maize,Moong(Green Gram),Onion,Potato,Rapeseed &Mustard,Rice,Sesamum,Sugarcane,Urad,Wheat
0,0.009581403233355075,3200.0,0.036613659073564155,0.8414553539238072,0.8666666666666667,0.994,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.04903958716435915,75572.0,0.1347717151344032,0.8181809077434602,0.7466666666666666,0.946,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0.05485476189598772,49099.0,0.0040906884697545194,0.6092116332171614,0.9733333333333333,0.732,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0.008033638095659256,3945.0,0.03725459181236027,0.7283229179185194,0.7066666666666667,0.834,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.0035758288220893108,2062.0,0.22787938982721515,0.8249108680847653,0.84,0.534,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,8.598695209421221e-06,2.0,0.026026425779266216,0.7081480591275088,0.84,0.87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2.2110930538511714e-05,21.0,0.24848809727885615,0.8640863477947363,0.7733333333333333,0.74,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0.048099872616472396,1878596.0,0.22514543934102563,0.8394624043584505,0.6799999999999999,0.624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0.012974202685986706,16812.0,0.09826966226277159,0.7865941593558466,0.9466666666666667,0.668,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0.0002198809203551998,2174.0,0.08250237564640266,0.7252658935224132,0.9066666666666666,0.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,3.685155089751952e-06,2.0,0.02430475960305127,0.6845706645835837,0.7866666666666667,0.40599999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,1.351223532909049e-05,203.0,0.009189747003192823,0.6523930417017185,0.6933333333333334,0.402,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
